#,Status,Name,Preview,Filled,Animated,Category,Creative Freedom,Brief,Keywords,FigmaPath,Style,NodeId,HasOutlined,HasFilled,File
197,To Do,refresh,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/197-refresh.png"")",FALSE,FALSE,UI Actions,,,,outlined/ui actions/common actions/refresh,outlined,147:1601,True,False,197-refresh.png
198,To Do,drink,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/198-drink.png"")",FALSE,FALSE,Categories,,,,outlined/categories/travel/drink,outlined,147:2097,True,False,198-drink.png
199,To Do,overdraft,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/199-overdraft.png"")",FALSE,FALSE,Products,,,,outlined/products/overdraft,outlined,13341:2582,True,False,199-overdraft.png
200,To Do,refund_temporary,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/200-refund_temporary.png"")",FALSE,FALSE,Financial,,,,outlined/financial/other/refund_temporary,outlined,147:2024,True,False,200-refund_temporary.png
201,To Do,change_contract,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/201-change_contract.png"")",FALSE,FALSE,Objects,,,,outlined/objects/other/change_contract,outlined,147:1859,True,False,201-change_contract.png
202,To Do,nucoin_level2,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/202-nucoin_level2.png"")",FALSE,FALSE,Products,,,,outlined/products/nucoin_level2,outlined,25206:2086,True,False,202-nucoin_level2.png
203,To Do,divide,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/203-divide.png"")",FALSE,FALSE,Actions,,,,outlined/actions/common actions/divide,outlined,147:1644,True,False,203-divide.png
204,To Do,user_inside_off,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/204-user_inside_off.png"")",FALSE,FALSE,Objects,,,,outlined/objects/security/user_inside_off,outlined,147:1718,True,False,204-user_inside_off.png
205,To Do,torii,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/205-torii.png"")",FALSE,FALSE,Categories,,,,outlined/categories/travel/torii,outlined,7791:2344,True,False,205-torii.png
207,To Do,horizontal_card_transfer,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/207-horizontal_card_transfer.png"")",FALSE,FALSE,Financial,,,,outlined/financial/cards/horizontal_card_transfer,outlined,25301:2086,True,False,207-horizontal_card_transfer.png
208,To Do,send,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/208-send.png"")",FALSE,FALSE,Actions,,,,outlined/actions/common actions/send,outlined,147:1541,True,False,208-send.png
209,To Do,threads,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/209-threads.png"")",FALSE,FALSE,Actions,,,,outlined/actions/common_actions/threads,outlined,21704:2085,True,False,209-threads.png
210,To Do,clean,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/210-clean.png"")",FALSE,FALSE,Categories,,,,outlined/categories/travel/clean,outlined,147:2136,True,False,210-clean.png
211,To Do,calendar_edit,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/211-calendar_edit.png"")",FALSE,FALSE,Objects,,,,outlined/objects/time/calendar_edit,outlined,147:1856,True,False,211-calendar_edit.png
212,To Do,snack,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/212-snack.png"")",FALSE,FALSE,Categories,,,,outlined/categories/travel/snack,outlined,7791:2334,True,False,212-snack.png
213,To Do,smartphone_broken,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/213-smartphone_broken.png"")",FALSE,FALSE,Objects,,,,outlined/objects/other/smartphone_broken,outlined,147:1862,True,False,213-smartphone_broken.png
214,To Do,computer_plus,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/214-computer_plus.png"")",FALSE,FALSE,Objects,,,,outlined/objects/other/computer_plus,outlined,7791:2316,True,False,214-computer_plus.png
215,To Do,soap_bottle,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/215-soap_bottle.png"")",FALSE,FALSE,Categories,,,,outlined/categories/transactions/soap_bottle,outlined,147:2076,True,False,215-soap_bottle.png
216,To Do,computer,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/216-computer.png"")",FALSE,FALSE,Categories,,,,outlined/categories/travel/computer,outlined,147:2145,True,False,216-computer.png
217,To Do,calendar_renew,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/217-calendar_renew.png"")",FALSE,FALSE,Objects,,,,outlined/objects/time/calendar_renew,outlined,10647:2581,True,False,217-calendar_renew.png
218,To Do,image,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/218-image.png"")",FALSE,FALSE,Actions,,,,outlined/actions/common actions/image,outlined,147:1615,True,False,218-image.png
219,To Do,computer_fix,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/219-computer_fix.png"")",FALSE,FALSE,Objects,,,,outlined/objects/other/computer_fix ,outlined,147:1784,True,False,219-computer_fix.png
220,To Do,pool,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/220-pool.png"")",FALSE,FALSE,Categories,,,,outlined/categories/travel/pool,outlined,147:2082,True,False,220-pool.png
221,To Do,kid_toy,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/221-kid_toy.png"")",FALSE,FALSE,Categories,,,,outlined/categories/travel/kid_toy,outlined,147:2103,True,False,221-kid_toy.png
222,To Do,tag,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/222-tag.png"")",FALSE,FALSE,Actions,,,,outlined/actions/common actions/tag,outlined,147:1619,True,False,222-tag.png
223,To Do,card_transfer_limits,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/223-card_transfer_limits.png"")",FALSE,FALSE,Financial,,,,outlined/financial/cards/card_transfer_limits,outlined,147:2003,True,False,223-card_transfer_limits.png
224,To Do,tools,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/224-tools.png"")",FALSE,FALSE,Categories,,,,outlined/categories/transactions/tools,outlined,147:2044,True,False,224-tools.png
225,To Do,wind,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/225-wind.png"")",FALSE,FALSE,Objects,,,,outlined/objects/other/wind,outlined,147:1790,True,False,225-wind.png
226,To Do,gmail,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/226-gmail.png"")",FALSE,FALSE,Social,,,,outlined/social/gmail,outlined,147:1481,True,True,226-gmail.png
227,To Do,sentiment_very_dissatisfied,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/227-sentiment_very_dissatisfied.png"")",FALSE,FALSE,Actions,,,,outlined/actions/feedbacks/sentiment_very_dissatisfied,outlined,147:1559,True,False,227-sentiment_very_dissatisfied.png
228,To Do,games,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/228-games.png"")",FALSE,FALSE,Categories,,,,outlined/categories/transactions/games,outlined,147:2065,True,False,228-games.png
229,To Do,video,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/229-video.png"")",FALSE,FALSE,System,,,,outlined/system/video,outlined,147:1658,True,False,229-video.png
230,To Do,car_collision,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/230-car_collision.png"")",FALSE,FALSE,Objects,,,,outlined/objects/transport/car_collision,outlined,147:1799,True,False,230-car_collision.png
