Rank,Name,Preview,File
114,arrow_right,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/114-arrow_right.png"")",114-arrow_right.png
115,share_ios,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/115-share_ios.png"")",115-share_ios.png
116,arrow_up,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/116-arrow_up.png"")",116-arrow_up.png
117,arrow_left,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/117-arrow_left.png"")",117-arrow_left.png
118,Low,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/118-low.png"")",118-low.png
119,bank,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/119-bank.png"")",119-bank.png
120,receipt,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/120-receipt.png"")",120-receipt.png
121,clock_24h,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/121-clock_24h.png"")",121-clock_24h.png
122,user_id,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/122-user_id.png"")",122-user_id.png
123,horizontal_card_blocked,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/123-horizontal_card_blocked.png"")",123-horizontal_card_blocked.png
124,expiring_card,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/124-expiring_card.png"")",124-expiring_card.png
125,close_circle,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/125-close_circle.png"")",125-close_circle.png
126,heart,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/126-heart-v2.png"")",126-heart-v2.png
127,history,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/127-history.png"")",127-history.png
128,fingerprint,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/128-fingerprint.png"")",128-fingerprint.png
129,settings,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/129-settings.png"")",129-settings.png
130,user,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/130-user.png"")",130-user.png
131,horizontal_card_collateral,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/131-horizontal_card_collateral.png"")",131-horizontal_card_collateral.png
132,refund,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/132-refund.png"")",132-refund.png
133,group,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/133-group.png"")",133-group.png
134,users_kid_adult,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/134-users_kid_adult.png"")",134-users_kid_adult.png
135,store,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/135-store.png"")",135-store.png
136,open_finance,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/136-open_finance.png"")",136-open_finance.png
137,umbrella,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/137-umbrella.png"")",137-umbrella.png
138,list,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/138-list.png"")",138-list.png
139,tune,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/139-tune.png"")",139-tune.png
